Název,Kód lékárny,Kód prac.,IČZ,Vedoucí lékárník,Město,Ulice a č.p.,PSČ,Telefon,Fax,E-mail,Www
OOVL - L Tilia,61995410,61514000000,61514000,RNDr. Marie Řehulová,Černožice,Gen.Svobody 266,503 04,603823387,0,tilia.v@seznam.cz,
Lékárna Ave Maria,61995690,61559000000,61559000,Mgr. Hana Bělíková,Chlumec nad Cidlinou,Jungmannova 101,503 51,495484187,0,lekarna.ave.maria@email.cz,
Lékárna U Anděla,61995570,61572000001,61572000,Mgr. Alena Podnecká,Chlumec nad Cidlinou,Klicperova 53,503 51,495487109,0,lekarnauandela@email.cz,
U Nádraží,61995560,61539000000,61539000,PharmDr. Lenka Loudová,Chlumec nad Cidlinou,Nádražní 783/IV,503 51,495487220,0,loudoval@volny.cz,
Lékárna s.r.o.,61995010,61512000000,61512000,PharmDr. Eva Vykoukalová,Chlumec nad Cidlinou,Pražská 82,503 51,495485219,495 485 219,lekarna.chlumec@wo.cz,http://www.lekarnachlumec.cz
OOVL - L Albert Hypermarket,99560620,60995025001,60995025,PharmDr. Elena Nováková,Dobřenice,Dobřenice 63,503 25,495451283,0,lekarna4@sija.cz,
EUC Lékárna,61995030,61520000003,61520000,Mgr. Igor Simon,Hradec Králové,Bratří Štefanů 895/1,500 03,495865322,495 541 267,lekarna.hradeckralove@eucklinika.cz,http://www.euc.cz
BENU Lékárna,61995580,61544000000,61544000,Mgr. Petra Mertová,Hradec Králové,Brněnská 1825/23a,500 09,731638046,0,hradec.ocfuturum@benu.cz,http://www.benu.cz
Lékárna U GRANDU,61995140,61570000000,61570000,Mgr. Veronika Dařbujánová,Hradec Králové,Československé armády 287/19,500 03,495580085,0,ugrandu@ipcnet.cz,http://www.ipcgroup.cz
Dr.Max LÉKÁRNA,61995040,61567000000,61567000,Mgr. Jana Sluková,Hradec Králové,Dukelská 479,500 02,495530422,0,hradec2@drmax.cz,http://www.drmax.cz
Lékárna WPK,61995700,61578000000,61578000,Mgr. Kateřina Hetešová Žáková,Hradec Králové,Dukelská třída 1713/7,500 02,493034680,0,lekarna.atrium@lekarnawpk.cz,http://www.lekarnawpk.cz
Kamilka,61995470,61548000000,61548000,Mgr. Ivana Zemanová,Hradec Králové,F.Halase 1050,500 09,495269853,495 269 853,kamilka@ipcnet.cz,http://www.ipcgroup.cz
BENU Lékárna,61995870,61540000001,61540000,PharmDr. Hana Hrabálková,Hradec Králové,Foerstrova 1655/1,500 02,731638193,0,hradec.foerstrova@benu.cz,http://www.benu.cz
BENU Lékárna,61995830,61587000000,61587000,PharmDr. Ida Kocábková,Hradec Králové,Gočárova třída 1754/48a,500 02,731638155,0,hradec.ocaupark@benu.cz,http://www.benu.cz
