Resortní identifikátor školy,Kód místa,Místo poskytovaného vzdìlávání,Resortní identifikátor právnické osoby,Kód oboru vzdìlání,Název oboru vzdìlání,Poèet žákù daného oboru
87131,572659,Jièín,600011992,7941K41,Gymnázium,200
87131,572659,Jièín,600011992,7941K61,Gymnázium,179
87131,572659,Jièín,600011992,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,379
87131,572659,Jièín,600011992,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
87297,572659,Jièín,600012069,1820M01,Informaèní technologie,174
87297,572659,Jièín,600012069,2341M01,Strojírenství,145
87297,572659,Jièín,600012069,2351H01,Strojní mechanik,20
87297,572659,Jièín,600012069,2356H01,Obrábìè kovù,32
87297,572659,Jièín,600012069,2641M01,Elektrotechnika,53
87297,572659,Jièín,600012069,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,424
87297,572659,Jièín,600012069,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
87343,572926,Hoøice,600012077,2142M01,Geotechnika,14
87343,572926,Hoøice,600012077,2142M01,Geotechnika,17
87343,572926,Hoøice,600012077,8241M01,Užitá malba,29
87343,572926,Hoøice,600012077,8241M16,Kamenosochaøství,25
"87343,572926,Hoøice,600012077,8242M01,""Konzervátorství,restaur."",19"
87343,572926,Hoøice,600012077,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,87
87343,572926,Hoøice,600012077,SNFO,Celkem v ostatních formách - poèet fyzických osob,17
87513,572659,Jièín,600012000,1820M01,Informaèní technologie,30
87513,572659,Jièín,600012000,6341M02,Obchodní akademie,241
87513,572659,Jièín,600012000,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,271
87513,572659,Jièín,600012000,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
87629,573060,Kopidlno,600012018,4152E01,Zahradnické práce,11
87629,573060,Kopidlno,600012018,4143M01,Rybáøství,20
87629,573060,Kopidlno,600012018,4144L51,Zahradnictví,7
87629,573060,Kopidlno,600012018,4144M01,Zahradnictví,26
87629,573060,Kopidlno,600012018,4152H01,Zahradník,44
87629,573060,Kopidlno,600012018,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,108
87629,573060,Kopidlno,600012018,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
87751,570001,Hlušice,600011763,2343L51,Provozní technika,43
87751,570508,Nový Bydžov,600011763,2345M01,Dopravní prostøedky,64
87751,570001,Hlušice,600011763,2368H01,Mechanik opraváø.mot.voz.,75
87751,570508,Nový Bydžov,600011763,2651H02,Elektrikáø-silnoproud,46
87751,570508,Nový Bydžov,600011763,2657H01,Autoelektrikáø,30
87751,570508,Nový Bydžov,600011763,2954H01,Cukráø,26
87751,570508,Nový Bydžov,600011763,2956H01,Øezník-uzenáø,22
87751,570001,Hlušice,600011763,4155H01,Opraváø zemìdìl.strojù,73
87751,570508,Nový Bydžov,600011763,6441L51,Podnikání,23
87751,570508,Nový Bydžov,600011763,6551H01,Kuchaø-èíšník,44
87751,570508,Nový Bydžov,600011763,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,255
87751,570001,Hlušice,600011763,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,191
87751,570508,Nový Bydžov,600011763,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
87751,570001,Hlušice,600011763,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
87998,572926,Hoøice,600024113,3241E01,Kožedìlná výroba,5
"87998,572926,Hoøice,600024113,3356E01,""Truh.,èalounická výroba"",8"
87998,572926,Hoøice,600024113,3657E01,Malíøské a natìr.práce,15
87998,572926,Hoøice,600024113,3667E01,Zednické práce,12
87998,572926,Hoøice,600024113,4151E01,Zemìdìlské práce,35
87998,572926,Hoøice,600024113,7541E01,Peèovatelské služby,16
87998,572926,Hoøice,600024113,7862C02,Praktická škola dvouletá,3
87998,572926,Hoøice,600024113,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,94
87998,572926,Hoøice,600024113,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
175790,569810,Hradec Králové,600170764,2345M01,Dopravní prostøedky,22
175790,569810,Hradec Králové,600170764,2355H01,Klempíø,10
175790,569810,Hradec Králové,600170764,2355H02,Karosáø,26
175790,569810,Hradec Králové,600170764,2361H01,Autolakýrník,23
175790,569810,Hradec Králové,600170764,2368H01,Mechanik opraváø.mot.voz.,133
175790,569810,Hradec Králové,600170764,2657H01,Autoelektrikáø,34
175790,569810,Hradec Králové,600170764,3652H01,Instalatér,47
175790,569810,Hradec Králové,600170764,3664H01,Tesaø,16
175790,569810,Hradec Králové,600170764,3667H01,Zedník,24
"175790,569810,Hradec Králové,600170764,3741M01,""Provoz,ekonomika dopravy"",61"
175790,569810,Hradec Králové,600170764,3941L01,Autotronik,84
"175790,569810,Hradec Králové,600170764,3941L02,""Mechanik instal.,el.zaøíz"",29"
175790,569810,Hradec Králové,600170764,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,509
175790,569810,Hradec Králové,600170764,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
"401170,573248,Nová Paka,600012026,7531M01,""Pøedšk.,mimošk.pedagogika"",117"
401170,573248,Nová Paka,600012026,7941K41,Gymnázium,83
401170,573248,Nová Paka,600012026,7941K81,Gymnázium,198
401170,573248,Nová Paka,600012026,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,398
401170,573248,Nová Paka,600012026,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
527939,570877,Smiøice,600011712,2953H01,Pekaø,11
527939,570877,Smiøice,600011712,2953H01,Pekaø,0
527939,570877,Smiøice,600011712,2954H01,Cukráø,41
527939,570877,Smiøice,600011712,2954H01,Cukráø,0
527939,569810,Hradec Králové,600011712,3456L01,Fotograf,12
527939,569810,Hradec Králové,600011712,3456L01,Fotograf,53
527939,569810,Hradec Králové,600011712,4144M01,Zahradnictví,18
527939,569810,Hradec Králové,600011712,4152H01,Zahradník,53
527939,569810,Hradec Králové,600011712,6341M01,Ekonomika a podnikání,112
527939,569810,Hradec Králové,600011712,6441L51,Podnikání,49
527939,569810,Hradec Králové,600011712,6441L51,Podnikání,69
527939,570877,Smiøice,600011712,6441L51,Podnikání,15
527939,570877,Smiøice,600011712,6441L51,Podnikání,0
527939,570877,Smiøice,600011712,6441L51,Podnikání,0
527939,569810,Hradec Králové,600011712,6542M01,Hotelnictví,102
527939,570877,Smiøice,600011712,6551H01,Kuchaø-èíšník,36
527939,569810,Hradec Králové,600011712,6551H01,Kuchaø-èíšník,101
527939,570877,Smiøice,600011712,6551H01,Kuchaø-èíšník,0
527939,569810,Hradec Králové,600011712,6651H01,Prodavaè,21
527939,569810,Hradec Králové,600011712,6651H01,Prodavaè,27
527939,569810,Hradec Králové,600011712,6652H01,Aranžér,32
527939,569810,Hradec Králové,600011712,6941L01,Kosmetické služby,88
527939,569810,Hradec Králové,600011712,6951H01,Kadeøník,146
527939,569810,Hradec Králové,600011712,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,183
527939,569810,Hradec Králové,600011712,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,246
527939,570877,Smiøice,600011712,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,103
527939,569810,Hradec Králové,600011712,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,385
527939,570877,Smiøice,600011712,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,0
527939,569810,Hradec Králové,600011712,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
527939,569810,Hradec Králové,600011712,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
527939,570877,Smiøice,600011712,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
527939,569810,Hradec Králové,600011712,SNFO,Celkem v ostatních formách - poèet fyzických osob,69
527939,570877,Smiøice,600011712,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
529681,579025,Trutnov,691012440,2953H01,Pekaø,16
529681,579025,Trutnov,691012440,2954H01,Cukráø,39
529681,579025,Trutnov,691012440,3356H01,Truhláø,23
529681,579025,Trutnov,691012440,3652H01,Instalatér,22
529681,579025,Trutnov,691012440,3664H01,Tesaø,17
529681,579025,Trutnov,691012440,3667H01,Zedník,13
529681,579025,Trutnov,691012440,3742M01,Logistické a fin.služby,17
529681,574538,Teplice nad Metují,691012440,6541L51,Gastronomie,0
529681,574538,Teplice nad Metují,691012440,6541L51,Gastronomie,9
529681,579025,Trutnov,691012440,6541L51,Gastronomie,9
529681,574538,Teplice nad Metují,691012440,6542M01,Hotelnictví,0
529681,574538,Teplice nad Metují,691012440,6542M01,Hotelnictví,26
529681,574538,Teplice nad Metují,691012440,6551H01,Kuchaø-èíšník,0
