Resortní identifikátor školy,Kód sídla,Sídlo právnické osoby,Resortní identifikátor právnické osoby,Kód oboru vzdělání,Název oboru vzdělání
    060884690,576361,Kostelec nad Orlicí,600012573,16-01-M/01,Ekologie a životní prostředí
    060153296,579025,Trutnov,600012905,16-01-M/01,Ekologie a životní prostředí
    015062848,569810,Hradec Králové,600011828,16-02-M/01,Průmyslová ekologie
    015062848,569810,Hradec Králové,600011828,18-20-M/01,Informační technologie
    000087513,572659,Jičín,600012000,18-20-M/01,Informační technologie
    000087297,572659,Jičín,600012069,18-20-M/01,Informační technologie
    060884711,576361,Kostelec nad Orlicí,600012581,18-20-M/01,Informační technologie
    060884746,576271,Dobruška,600012590,18-20-M/01,Informační technologie
    110037791,579203,Dvůr Králové nad Labem,600013006,18-20-M/01,Informační technologie
    102730148,574279,Nové Město nad Metují,600024211,18-20-M/01,Informační technologie
    110200403,579025,Trutnov,610200381,18-20-M/01,Informační technologie
    102266271,573868,Náchod,691012415,18-20-M/01,Informační technologie
    000087343,572926,Hořice,600012077,21-42-M/01,Geotechnika
    000087343,572926,Hořice,600012077,21-42-M/01,Geotechnika
    015062848,569810,Hradec Králové,600011828,23-41-M/01,Strojírenství
    000087297,572659,Jičín,600012069,23-41-M/01,Strojírenství
    102730148,574279,Nové Město nad Metují,600024211,23-41-M/01,Strojírenství
    110200403,579025,Trutnov,610200381,23-41-M/01,Strojírenství
    060884720,576069,Rychnov nad Kněžnou,691000107,23-41-M/01,Strojírenství
    110028881,574082,Hronov,691012431,23-41-M/01,Strojírenství
    000087751,570508,Nový Bydžov,600011763,23-43-L/51,Provozní technika
    015062848,569810,Hradec Králové,600011828,23-43-L/51,Provozní technika
    015062848,569810,Hradec Králové,600011828,23-43-L/51,Provozní technika
    060884720,576069,Rychnov nad Kněžnou,691000107,23-43-L/51,Provozní technika
    060884720,576069,Rychnov nad Kněžnou,691000107,23-43-L/51,Provozní technika
    015055663,573248,Nová Paka,691012512,23-43-L/51,Provozní technika
    015062848,569810,Hradec Králové,600011828,23-44-L/01,Mechanik strojů a zařízení
    102730148,574279,Nové Město nad Metují,600024211,23-44-L/01,Mechanik strojů a zařízení
    015055663,573248,Nová Paka,691012512,23-44-L/01,Mechanik strojů a zařízení
    015062848,569810,Hradec Králové,600011828,23-45-L/01,Mechanik seřizovač
    102730148,574279,Nové Město nad Metují,600024211,23-45-L/01,Mechanik seřizovač
    110028881,574082,Hronov,691012431,23-45-L/01,Mechanik seřizovač
    000087751,570508,Nový Bydžov,600011763,23-45-M/01,Dopravní prostředky
    000175790,569810,Hradec Králové,600170764,23-45-M/01,Dopravní prostředky
    062690400,569810,Hradec Králové,600024024,23-51-E/01,Strojírenské práce
    102730148,574279,Nové Město nad Metují,600024211,23-51-E/01,Strojírenské práce
    015062848,569810,Hradec Králové,600011828,23-51-H/01,Strojní mechanik
    000087297,572659,Jičín,600012069,23-51-H/01,Strojní mechanik
    102730148,574279,Nové Město nad Metují,600024211,23-51-H/01,Strojní mechanik
    110200403,579025,Trutnov,610200381,23-51-H/01,Strojní mechanik
    015055663,573248,Nová Paka,691012512,23-51-H/01,Strojní mechanik
    015055663,573248,Nová Paka,691012512,23-51-H/01,Strojní mechanik
    015062848,569810,Hradec Králové,600011828,23-52-H/01,Nástrojař
    110200403,579025,Trutnov,610200381,23-52-H/01,Nástrojař
    110028881,574082,Hronov,691012431,23-52-H/01,Nástrojař
    015055663,573248,Nová Paka,691012512,23-52-H/01,Nástrojař
    000175790,569810,Hradec Králové,600170764,23-55-H/01,Klempíř
    102266271,573868,Náchod,691012415,23-55-H/01,Klempíř
    015062848,569810,Hradec Králové,600011828,23-55-H/02,Karosář
    102730148,574279,Nové Město nad Metují,600024211,23-55-H/02,Karosář
    000175790,569810,Hradec Králové,600170764,23-55-H/02,Karosář
    060884720,576069,Rychnov nad Kněžnou,691000107,23-55-H/02,Karosář
    015055663,573248,Nová Paka,691012512,23-55-H/02,Karosář
    015062848,569810,Hradec Králové,600011828,23-56-H/01,Obráběč kovů
    000087297,572659,Jičín,600012069,23-56-H/01,Obráběč kovů
    102730148,574279,Nové Město nad Metují,600024211,23-56-H/01,Obráběč kovů
    110200039,572926,Hořice,691012458,23-56-H/01,Obráběč kovů
    015055663,573248,Nová Paka,691012512,23-56-H/01,Obráběč kovů
    000175790,569810,Hradec Králové,600170764,23-61-H/01,Autolakýrník
    060884720,576069,Rychnov nad Kněžnou,691000107,23-61-H/01,Autolakýrník
    000087751,570508,Nový Bydžov,600011763,23-68-H/01,Mechanik opravář motorových vozidel
    000175790,569810,Hradec Králové,600170764,23-68-H/01,Mechanik opravář motorových vozidel
    060884720,576069,Rychnov nad Kněžnou,691000107,23-68-H/01,Mechanik opravář motorových vozidel
    110028881,574082,Hronov,691012431,23-68-H/01,Mechanik opravář motorových vozidel
    015062848,569810,Hradec Králové,600011828,26-41-L/01,Mechanik elektrotechnik
    060884690,576361,Kostelec nad Orlicí,600012573,26-41-L/01,Mechanik elektrotechnik
    102730148,574279,Nové Město nad Metují,600024211,26-41-L/01,Mechanik elektrotechnik
    015055663,573248,Nová Paka,691012512,26-41-L/01,Mechanik elektrotechnik
    060884690,576361,Kostelec nad Orlicí,600012573,26-41-L/51,Mechanik elektrotechnik
    015062848,569810,Hradec Králové,600011828,26-41-L/52,Provozní elektrotechnika
    015062848,569810,Hradec Králové,600011828,26-41-L/52,Provozní elektrotechnika
    015055663,573248,Nová Paka,691012512,26-41-L/52,Provozní elektrotechnika
    015062848,569810,Hradec Králové,600011828,26-41-M/01,Elektrotechnika
    000087297,572659,Jičín,600012069,26-41-M/01,Elektrotechnika
    060884746,576271,Dobruška,600012590,26-41-M/01,Elektrotechnika
    110200403,579025,Trutnov,610200381,26-41-M/01,Elektrotechnika
    110028881,574082,Hronov,691012431,26-41-M/01,Elektrotechnika
    015055663,573248,Nová Paka,691012512,26-41-M/01,Elektrotechnika
    015062848,569810,Hradec Králové,600011828,26-51-H/01,Elektrikář
    015062848,569810,Hradec Králové,600011828,26-51-H/01,Elektrikář
    110200403,579025,Trutnov,610200381,26-51-H/01,Elektrikář
    110028881,574082,Hronov,691012431,26-51-H/01,Elektrikář
    015055663,573248,Nová Paka,691012512,26-51-H/01,Elektrikář
    000087751,570508,Nový Bydžov,600011763,26-51-H/02,Elektrikář - silnoproud
    015062848,569810,Hradec Králové,600011828,26-51-H/02,Elektrikář - silnoproud
    102730148,574279,Nové Město nad Metují,600024211,26-51-H/02,Elektrikář - silnoproud
    110200403,579025,Trutnov,610200381,26-51-H/02,Elektrikář - silnoproud
    015055663,573248,Nová Paka,691012512,26-51-H/02,Elektrikář - silnoproud
    015062848,569810,Hradec Králové,600011828,26-52-H/01,Elektromechanik pro zařízení a přístroje
    060884690,576361,Kostelec nad Orlicí,600012573,26-52-H/01,Elektromechanik pro zařízení a přístroje
    000087751,570508,Nový Bydžov,600011763,26-57-H/01,Autoelektrikář
    000175790,569810,Hradec Králové,600170764,26-57-H/01,Autoelektrikář
    060884720,576069,Rychnov nad Kněžnou,691000107,26-57-H/01,Autoelektrikář
    110037791,579203,Dvůr Králové nad Labem,600013006,28-44-M/01,Aplikovaná chemie
    110028881,574082,Hronov,691012431,28-52-H/01,Chemik
    110013450,569810,Hradec Králové,600024016,29-51-E/01,Potravinářská výroba
    062690400,569810,Hradec Králové,600024024,29-51-E/01,Potravinářská výroba
    102730148,574279,Nové Město nad Metují,600024211,29-51-E/01,Potravinářská výroba
    062690400,569810,Hradec Králové,600024024,29-51-E/02,Potravinářské práce
    102730148,574279,Nové Město nad Metují,600024211,29-51-E/02,Potravinářské práce
    000527939,569810,Hradec Králové,600011712,29-53-H/01,Pekař
    130001732,573248,Nová Paka,600170802,29-53-H/01,Pekař
    000529681,579025,Trutnov,691012440,29-53-H/01,Pekař
    000527939,569810,Hradec Králové,600011712,29-54-H/01,Cukrář
    000087751,570508,Nový Bydžov,600011763,29-54-H/01,Cukrář
    110013450,569810,Hradec Králové,600024016,29-54-H/01,Cukrář
    102730148,574279,Nové Město nad Metují,600024211,29-54-H/01,Cukrář
    130001732,573248,Nová Paka,600170802,29-54-H/01,Cukrář
    000529681,579025,Trutnov,691012440,29-54-H/01,Cukrář
    000087751,570508,Nový Bydžov,600011763,29-56-H/01,Řezník - uzenář
    110028881,574082,Hronov,691012431,31-57-H/01,Výrobce textilií
    130001732,573248,Nová Paka,600170802,31-58-H/01,Krejčí
    102730148,574279,Nové Město nad Metují,600024211,31-59-E/02,Šití prádla
    000087998,572926,Hořice,600024113,32-41-E/01,Kožedělná výroba
    110100867,569810,Hradec Králové,600011747,33-42-L/51,Nábytkářská a dřevařská výroba
    110013450,569810,Hradec Králové,600024016,33-42-L/51,Nábytkářská a dřevařská výroba
    110100867,569810,Hradec Králové,600011747,33-42-M/01,Nábytkářská a dřevařská výroba
    110013450,569810,Hradec Králové,600024016,33-56-E/01,Truhlářská a čalounická výroba
    000087998,572926,Hořice,600024113,33-56-E/01,Truhlářská a čalounická výroba
    060154021,579297,Hostinné,600024679,33-56-E/01,Truhlářská a čalounická výroba
    110100867,569810,Hradec Králové,600011747,33-56-H/01,Truhlář
    107860601,574121,Jaroměř,600012158,33-56-H/01,Truhlář
    110013450,569810,Hradec Králové,600024016,33-56-H/01,Truhlář
